criterion,model_name,n,random_state,runtime,val_acc,val_nll
l2-sp,l2-sp_alpha=0.01_beta=0.0_lr_0=0.001_n=370_random_state=2001,370,2001,3754.2499256134033,0.9054054021835328,0.2781136631965637
l2-sp,l2-sp_alpha=0.01_beta=0.0_lr_0=0.001_n=370_random_state=3001,370,3001,3748.5548145771027,0.8378378748893738,0.3839053213596344
l2-sp,l2-sp_alpha=0.01_beta=0.0_lr_0=0.001_n=3441_random_state=1001,3441,1001,3918.2289958000183,0.9484352469444276,0.1553949783014696
l2-sp,l2-sp_alpha=0.01_beta=0.0_lr_0=0.001_n=3441_random_state=2001,3441,2001,3508.5713641643524,0.9429587125778198,0.1588891930011815
l2-sp,l2-sp_alpha=0.01_beta=0.0_lr_0=0.001_n=3441_random_state=3001,3441,3001,5599.453238248825,0.9512802362442015,0.1468375574710756
l2-sp,l2-sp_alpha=0.01_beta=0.0_lr_0=0.0001_n=370_random_state=1001,370,1001,4407.480621576309,0.8648648858070374,1.453213095664978
l2-sp,l2-sp_alpha=0.01_beta=0.0_lr_0=0.0001_n=370_random_state=2001,370,2001,4369.859100580215,0.7972973585128784,1.7048221826553345
l2-sp,l2-sp_alpha=0.01_beta=0.0_lr_0=0.0001_n=370_random_state=3001,370,3001,4175.108811855316,0.824324369430542,1.553453803062439
l2-sp,l2-sp_alpha=0.01_beta=0.0_lr_0=0.0001_n=3441_random_state=1001,3441,1001,3830.098499774933,0.8441678285598755,1.3083754389785058
l2-sp,l2-sp_alpha=0.01_beta=0.0_lr_0=0.0001_n=3441_random_state=2001,3441,2001,3813.84659576416,0.7869132161140442,1.474874152693638
l2-sp,l2-sp_alpha=0.01_beta=0.0_lr_0=0.0001_n=3441_random_state=3001,3441,3001,3514.186447620392,0.7963727116584778,1.2931889988655263
l2-sp,l2-sp_alpha=0.001_beta=0.01_lr_0=0.1_n=370_random_state=1001,370,1001,3778.8496396541595,0.824324369430542,0.5200359225273132
l2-sp,l2-sp_alpha=0.001_beta=0.01_lr_0=0.1_n=370_random_state=2001,370,2001,3746.973963499069,0.8648648858070374,0.4393385350704193
l2-sp,l2-sp_alpha=0.001_beta=0.01_lr_0=0.1_n=370_random_state=3001,370,3001,3793.246724843979,0.7837837338447571,0.7051670551300049
l2-sp,l2-sp_alpha=0.001_beta=0.01_lr_0=0.1_n=3441_random_state=1001,3441,1001,3534.295517206192,0.9380748867988586,0.2823255606168924
l2-sp,l2-sp_alpha=0.001_beta=0.01_lr_0=0.1_n=3441_random_state=2001,3441,2001,3955.657677412033,0.9457325339317322,0.1860863483229348
l2-sp,l2-sp_alpha=0.001_beta=0.01_lr_0=0.1_n=3441_random_state=3001,3441,3001,3857.68625330925,0.9566856026649476,0.1715588437956432
l2-sp,l2-sp_alpha=0.001_beta=0.01_lr_0=0.01_n=370_random_state=1001,370,1001,4190.608650445938,0.9189189672470092,0.2286907136440277
l2-sp,l2-sp_alpha=0.001_beta=0.01_lr_0=0.01_n=370_random_state=2001,370,2001,4439.156713247299,0.9189189672470092,0.3116020262241363
l2-sp,l2-sp_alpha=0.001_beta=0.01_lr_0=0.01_n=370_random_state=3001,370,3001,4404.355649232864,0.8918918967247009,0.3329058289527893
l2-sp,l2-sp_alpha=0.001_beta=0.01_lr_0=0.01_n=3441_random_state=1001,3441,1001,3506.0778439044952,0.9443100690841676,0.2112398740164069
l2-sp,l2-sp_alpha=0.001_beta=0.01_lr_0=0.01_n=3441_random_state=2001,3441,2001,3557.549329996109,0.9503081440925598,0.1712925635104955
l2-sp,l2-sp_alpha=0.001_beta=0.01_lr_0=0.01_n=3441_random_state=3001,3441,3001,3511.8817591667175,0.9607396125793456,0.1367553526232408
l2-sp,l2-sp_alpha=0.001_beta=0.01_lr_0=0.001_n=370_random_state=1001,370,1001,4378.723634958267,0.9459459781646729,0.21615731716156
l2-sp,l2-sp_alpha=0.001_beta=0.01_lr_0=0.001_n=370_random_state=2001,370,2001,4152.4272718429565,0.9189189076423644,0.2986955940723419
l2-sp,l2-sp_alpha=0.001_beta=0.01_lr_0=0.001_n=370_random_state=3001,370,3001,4463.865894079208,0.8378378748893738,0.3833952844142914
l2-sp,l2-sp_alpha=0.001_beta=0.01_lr_0=0.001_n=3441_random_state=1001,3441,1001,3929.3135392665863,0.9470838904380798,0.1572577107784359
l2-sp,l2-sp_alpha=0.001_beta=0.01_lr_0=0.001_n=3441_random_state=2001,3441,2001,3506.7758622169495,0.9416073560714722,0.1610459375173546
l2-sp,l2-sp_alpha=0.001_beta=0.01_lr_0=0.001_n=3441_random_state=3001,3441,3001,3524.06498503685,0.9553343057632446,0.1489074134895967
l2-sp,l2-sp_alpha=0.001_beta=0.01_lr_0=0.0001_n=370_random_state=1001,370,1001,3791.4963903427124,0.8648648858070374,1.4541141986846924
l2-sp,l2-sp_alpha=0.001_beta=0.01_lr_0=0.0001_n=370_random_state=2001,370,2001,4389.321504116058,0.7972973585128784,1.7051098346710205
l2-sp,l2-sp_alpha=0.001_beta=0.01_lr_0=0.0001_n=370_random_state=3001,370,3001,4414.44536447525,0.824324369430542,1.5533372163772583
l2-sp,l2-sp_alpha=0.001_beta=0.01_lr_0=0.0001_n=3441_random_state=1001,3441,1001,4389.24746632576,0.8441678285598755,1.309602182964946
l2-sp,l2-sp_alpha=0.001_beta=0.01_lr_0=0.0001_n=3441_random_state=2001,3441,2001,3860.4405839443207,0.7869132161140442,1.4759162193120912
l2-sp,l2-sp_alpha=0.001_beta=0.01_lr_0=0.0001_n=3441_random_state=3001,3441,3001,4012.1417701244354,0.7963727116584778,1.2939633435981217
l2-sp,l2-sp_alpha=0.001_beta=0.001_lr_0=0.1_n=370_random_state=1001,370,1001,4273.51912355423,0.9324324727058412,0.2470532953739166
l2-sp,l2-sp_alpha=0.001_beta=0.001_lr_0=0.1_n=370_random_state=2001,370,2001,3715.3476877212524,0.9324324727058412,0.2392184734344482
l2-sp,l2-sp_alpha=0.001_beta=0.001_lr_0=0.1_n=370_random_state=3001,370,3001,3771.4781103134155,0.8648648858070374,0.4191968739032745
