criterion,model_name,n,random_state,runtime,test_acc,test_nll
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.001_n=40000_random_state=3001,40000,3001,7117.863539457321,0.9251315593719482,0.0208151837756955
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.001_n=120000_random_state=1001,120000,1001,7108.854483127594,0.9284210205078124,0.0200951727696596
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.001_n=120000_random_state=2001,120000,2001,7066.541553020477,0.9290789365768432,0.019867480299313
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.001_n=120000_random_state=3001,120000,3001,7142.316438674927,0.9280262589454652,0.0198333140672184
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.0001_n=40_random_state=1001,40,1001,6363.942359685898,0.6911842823028564,0.1376753223256061
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.0001_n=40_random_state=2001,40,2001,6485.384316682816,0.7630263566970825,0.1005462298934397
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.0001_n=40_random_state=3001,40,3001,6305.450495481491,0.6851316094398499,0.1220950455806757
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.0001_n=400_random_state=1001,400,1001,7380.266406774521,0.8440789580345154,0.0589209464677658
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.0001_n=400_random_state=2001,400,2001,7449.808510303497,0.8702632188796997,0.053078504152547
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.0001_n=400_random_state=3001,400,3001,7314.985033750534,0.8511842489242554,0.0550499638125889
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.0001_n=4000_random_state=1001,4000,1001,7642.996469259262,0.894473671913147,0.0306281013330935
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.0001_n=4000_random_state=2001,4000,2001,7723.897008895874,0.8930262923240662,0.0316482926267934
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.0001_n=4000_random_state=3001,4000,3001,7643.189518213272,0.8959211111068726,0.0311498887356566
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.0001_n=40000_random_state=1001,40000,1001,7105.277816772461,0.8989473581314087,0.0278917239954401
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.0001_n=40000_random_state=2001,40000,2001,7069.532430171967,0.8976315855979919,0.0305911898328677
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.0001_n=40000_random_state=3001,40000,3001,7221.569963216782,0.9009210467338562,0.0292935844324528
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.0001_n=120000_random_state=1001,120000,1001,7088.206473350525,0.9001315832138062,0.0280472044862414
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.0001_n=120000_random_state=2001,120000,2001,7104.415871143341,0.9003947377204895,0.0301974785783769
l2-sp,l2-sp_alpha=0.01_beta=0.001_lr_0=0.0001_n=120000_random_state=3001,120000,3001,7328.408774852753,0.9000000357627869,0.029369165370927
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.1_n=40_random_state=1001,40,1001,6307.26654791832,0.7585526704788208,0.1456050438786808
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.1_n=40_random_state=2001,40,2001,6541.255929470062,0.8023684024810791,0.1289354984996546
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.1_n=40_random_state=3001,40,3001,4883.568580389023,0.6689473986625671,0.1854892987522639
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.1_n=400_random_state=1001,400,1001,7476.824362754822,0.8634210824966431,0.1003293288526688
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.1_n=400_random_state=2001,400,2001,7632.221929073334,0.8685526251792908,0.0960275684126061
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.1_n=400_random_state=3001,400,3001,7200.015613079071,0.8668421506881714,0.0945562516336596
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.1_n=4000_random_state=1001,4000,1001,7583.522164344788,0.8846052289009094,0.0801661325659944
