criterion,model_name,n,random_state,runtime,test_acc,test_nll,test_bma_acc,test_clml
l2-sp,l2-sp_alpha=0.001_beta=1e-05_lr_0=0.01_n=100_random_state=1001,100,1001,2922.3425846099854,0.764,0.8235553295135499,0.7511,-1.2578037890294045
l2-sp,l2-sp_alpha=0.001_beta=1e-05_lr_0=0.01_n=100_random_state=2001,100,2001,2924.684276342392,0.7854,0.8346527290344237,0.7796000000000001,-0.9196947726109476
l2-sp,l2-sp_alpha=0.001_beta=1e-05_lr_0=0.01_n=100_random_state=3001,100,3001,3035.9761157035828,0.8059,0.7273596845626829,0.8043000000000001,-0.7957543047764748
l2-sp,l2-sp_alpha=0.001_beta=1e-05_lr_0=0.001_n=100_random_state=1001,100,1001,2939.3580775260925,0.6618,1.0971338851928718,0.6616000000000001,-1.4818938883641213
l2-sp,l2-sp_alpha=0.001_beta=1e-05_lr_0=0.001_n=100_random_state=2001,100,2001,2916.911791563034,0.6843,1.134623469924927,0.6882,-2.549639097104356
l2-sp,l2-sp_alpha=0.001_beta=1e-05_lr_0=0.001_n=100_random_state=3001,100,3001,3001.613057613373,0.7368,0.8850451383590701,0.7367,-0.9860371264317482
l2-sp,l2-sp_alpha=0.001_beta=1e-05_lr_0=0.0001_n=100_random_state=1001,100,1001,2942.0911107063293,0.5902000000000001,1.2867317617416385,0.5909,-7.121580711255357
l2-sp,l2-sp_alpha=0.001_beta=1e-05_lr_0=0.0001_n=100_random_state=2001,100,2001,2959.419944524765,0.6500999999999999,1.053169002151489,0.6493,-5.205820909390733
l2-sp,l2-sp_alpha=0.001_beta=1e-05_lr_0=0.0001_n=100_random_state=3001,100,3001,2931.681993484497,0.7135999999999999,0.9079364908218384,0.7141,-4.187865129361436
l2-sp,l2-sp_alpha=0.001_beta=1e-06_lr_0=0.1_n=100_random_state=1001,100,1001,2918.480959892273,0.7990999999999999,0.7675227459907531,0.7993,-0.6146315249302834
l2-sp,l2-sp_alpha=0.001_beta=1e-06_lr_0=0.1_n=100_random_state=2001,100,2001,2921.82980632782,0.8,0.7557146905899049,0.8,-0.6067274721959084
l2-sp,l2-sp_alpha=0.001_beta=1e-06_lr_0=0.1_n=100_random_state=3001,100,3001,2960.7467868328094,0.7878999999999999,0.7931235343933103,0.7843,-1.1653078707554787
l2-sp,l2-sp_alpha=0.001_beta=1e-06_lr_0=0.01_n=100_random_state=1001,100,1001,2919.208974123001,0.7673000000000001,0.8188036167144777,0.7447,-2.5733836802342385
l2-sp,l2-sp_alpha=0.001_beta=1e-06_lr_0=0.01_n=100_random_state=2001,100,2001,2989.969195842743,0.7803,0.8599430698394781,0.7721,-2.390175691495225
l2-sp,l2-sp_alpha=0.001_beta=1e-06_lr_0=0.01_n=100_random_state=3001,100,3001,3037.4052262306213,0.8069000000000001,0.7273254835128784,0.8061,-0.5661152514317482
l2-sp,l2-sp_alpha=0.001_beta=1e-06_lr_0=0.001_n=100_random_state=1001,100,1001,3054.7595553398132,0.6619,1.0971496879577642,0.6322,-5.369325033078477
l2-sp,l2-sp_alpha=0.001_beta=1e-06_lr_0=0.001_n=100_random_state=2001,100,2001,2964.8900711536407,0.6845,1.134673147392273,0.6831,-5.442715278516099
