criterion,model_name,n,random_state,runtime,test_acc,test_nll
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.1_n=1000_random_state=2001,1000,2001,2204.881257534027,0.878000020980835,0.4829699114322662
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.1_n=1000_random_state=3001,1000,3001,2080.8214571475983,0.8795000314712524,0.4903766841888427
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.1_n=10000_random_state=1001,10000,1001,2156.9257876873016,0.94760000705719,0.1938830797672271
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.1_n=10000_random_state=2001,10000,2001,2360.0219388008118,0.9491999745368958,0.1977168460130692
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.1_n=10000_random_state=3001,10000,3001,2604.2842996120453,0.9492000937461852,0.1950919182777405
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.1_n=50000_random_state=1001,50000,1001,2051.6122648715973,0.968399941921234,0.1058853172779083
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.1_n=50000_random_state=2001,50000,2001,2128.46436214447,0.9681000113487244,0.1023364577770233
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.1_n=50000_random_state=3001,50000,3001,1971.7685160636902,0.9693999290466307,0.1055035202264786
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.01_n=100_random_state=1001,100,1001,1668.6768400669098,0.6857000589370728,0.9799185235977174
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.01_n=100_random_state=2001,100,2001,1753.3787984848022,0.6646999716758728,1.050413692855835
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.01_n=100_random_state=3001,100,3001,1773.43435049057,0.6829999685287476,0.987682642173767
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.01_n=1000_random_state=1001,1000,1001,2190.709270477295,0.8739998936653137,0.4533095245361327
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.01_n=1000_random_state=2001,1000,2001,2191.2759804725647,0.8698999881744385,0.4630600034475327
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.01_n=1000_random_state=3001,1000,3001,2317.4148893356323,0.8703999519348145,0.4629881370544432
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.01_n=10000_random_state=1001,10000,1001,2254.8710820674896,0.9372000098228456,0.2334201300144196
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.01_n=10000_random_state=2001,10000,2001,2228.294422149658,0.9411999583244324,0.221981436920166
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.01_n=10000_random_state=3001,10000,3001,2044.0850458145142,0.942900002002716,0.2105673117160797
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.01_n=50000_random_state=1001,50000,1001,1997.1637370586395,0.9653999209403992,0.1228915482282638
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.01_n=50000_random_state=2001,50000,2001,2127.184061765671,0.9643000364303588,0.1271441031455994
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.01_n=50000_random_state=3001,50000,3001,2248.1688396930695,0.963200032711029,0.1261924269199371
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.001_n=100_random_state=1001,100,1001,1862.0860402584076,0.6947000622749329,0.9190969849586488
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.001_n=100_random_state=2001,100,2001,1788.9373335838318,0.6599000096321106,1.0226148363113403
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.001_n=100_random_state=3001,100,3001,1765.0096669197083,0.6854999661445618,0.93816863822937
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.001_n=1000_random_state=1001,1000,1001,2179.1303005218506,0.880899965763092,0.3938715399742128
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.001_n=1000_random_state=2001,1000,2001,2192.955579519272,0.8772000074386597,0.4016509709358214
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.001_n=1000_random_state=3001,1000,3001,2337.4840757846832,0.8712000250816345,0.4315987464904784
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.001_n=10000_random_state=1001,10000,1001,2180.042584657669,0.9349000453948976,0.2011973313331604
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.001_n=10000_random_state=2001,10000,2001,2474.603528738022,0.9375999569892884,0.1903447412967681
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.001_n=10000_random_state=3001,10000,3001,1976.4999127388,0.9350001215934752,0.1941560438632965
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.001_n=50000_random_state=1001,50000,1001,2126.639586210251,0.9459000825881958,0.1610607495784759
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.001_n=50000_random_state=2001,50000,2001,1975.5996353626251,0.9444000720977784,0.161717203450203
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.001_n=50000_random_state=3001,50000,3001,2074.7570559978485,0.94650000333786,0.1612386415481567
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.0001_n=100_random_state=1001,100,1001,1632.0911376476288,0.6793999671936035,1.04098424282074
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.0001_n=100_random_state=2001,100,2001,2156.9518887996674,0.6430999040603638,1.062802668380737
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.0001_n=100_random_state=3001,100,3001,1883.7632427215576,0.6751999855041504,0.9945389568328856
l2-sp,l2-sp_alpha=0.01_beta=0.0001_lr_0=0.0001_n=1000_random_state=1001,1000,1001,2319.7339010238647,0.8034000396728516,0.7849914932250974
